Annee,FORMATION,DATE_DEB_CONTRAT,DATE_FIN_CONTRAT,NOM_ENTREPRISE,CP_ENTREPRISE,FORME_JURIDIQUE_ENTREPRISE,VILLE_ENTREPRISE,Lat,Long,FORMATION_COMPLET,Type
2018-2020,M IDS PIDT 1A,20/08/2018,25/09/2020,DÉPARTEMENT DE LOIRE-ATLANTIQUE,44041,Administration d'Etat,NANTES,"47,08911048","-1,596195347",M1 Intervention et développement social parcours PIDT,Public
2018-2020,M IDS PIDT 1A,01/09/2018,30/08/2020,ASS RESEAU EN SCENE,34070,Association,MONTPELLIER,"43,61344091","3,868516579",M1 Intervention et développement social parcours PIDT,Association
2017-2019,M IDS PIDT 2A,02/10/2017,30/09/2019,CENTRE SOCIAL SOLEIL SAINT BLAISE,75020,Association,PARIS 20E,"48,86318678","2,400819827",M2 Intervention et développement social parcours PIDT,Association
2017-2019,M IDS PIDT 2A,28/08/2017,31/08/2019,RESEDA,30100,Association,ALES,"44,12500991","4,088285013",M2 Intervention et développement social parcours PIDT,Association
2017-2019,M IDS PIDT 2A,01/12/2017,30/09/2019,DISP TOULOUSE SUD,31015,Administration d'Etat,TOULOUSE CEDEX 6,"42,89243792","0,7155166244",M2 Intervention et développement social parcours PIDT,Public
2017-2019,M IDS PIDT 2A,04/09/2017,27/09/2019,CENTRE SOCIAL ET CULTUREL DANUBE,75019,SARL,PARIS 19E,"48,88686862","2,384694328",M2 Intervention et développement social parcours PIDT,Privé
2017-2019,M IDS PIDT 2A,01/10/2017,30/09/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours PIDT,Public
2017-2019,M IDS PIDT 2A,01/12/2017,30/09/2019,DISP TOULOUSE SUD,31015,Administration d'Etat,TOULOUSE CEDEX 6,"42,89243792","0,7155166244",M2 Intervention et développement social parcours PIDT,Public
2018-2019,M IDS PIDT 2A,01/07/2018,30/09/2019,MISSION LOCALE JEUNE MONTPELLIER,34000,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours PIDT,Association
2018-2020,M MIASHS 1A,10/09/2018,10/09/2020,MILLIONROADS,84000,SAS,AVIGNON,"43,93524483","4,840715725",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,03/09/2018,30/08/2020,INST NATIONAL RECHERCHE AGRONOMIQUE,34070,EPST,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2018-2020,M MIASHS 1A,01/10/2018,31/08/2020,BANQUE POPULAIRE DU SUD,66000,,PERPIGNAN,"42,69659541","2,89936954",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2019-2020,M MIASHS 1A,01/01/2019,31/08/2020,MAIRIE DE NANCY,54035,Commune et Commune Nouvelle,NANCY,"48,64258087","6,813211035",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2018-2020,M MIASHS 1A,03/09/2018,28/08/2020,FCS FORMATION,93100,ERL,MONTREUIL,"48,86331751","2,448162119",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2018-2020,M MIASHS 1A,17/09/2018,31/08/2020,OLYSTIC,75008,SAS,PARIS 8,"48,87252727","2,31258256",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,03/09/2018,02/09/2020,GROUPAMA SUPPORTS ET SERVICES,34170,GIE,CASTELNAU LE LEZ,"43,63802188","3,91265416",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2018-2020,M MIASHS 1A,03/09/2018,28/08/2020,PRICEWATERHOUSECOOPERS ADVISORY,92200,SAS,NEUILLY SUR SEINE,"48,88537197","2,266425847",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,03/09/2018,31/08/2020,MEDIAMETRIE,92300,SA,LEVALLOIS PERRET,"48,89507167","2,286882681",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,02/09/2019,04/09/2020,PRICEWATERHOUSECOOPERS ADVISORY,92200,SAS,NEUILLY SUR SEINE,"48,88537197","2,266425847",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,01/10/2018,30/09/2020,AXONAL-BIOSTATEM,92000,SAS,NANTERRE,"48,89607013","2,206713464",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2019-2020,M MIASHS 1A,07/01/2019,28/08/2020,ACELYS INFORMATIQUE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,29/10/2018,31/08/2020,VESTAS FRANCE,34470,SAS,PEROLS,"43,56066427","3,951757085",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,03/09/2018,31/08/2020,ASSOCIATION DES MOYENS ASSURANCES,49906,Association,ANGERS CEDEX 9,#N/A,#N/A,M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Association
2018-2020,M MIASHS 1A,03/09/2018,28/08/2020,REPORT ONE,81150,SAS,TERSSAC,"43,95321508","2,029954569",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,24/09/2018,31/08/2020,FAURECIA INTERIEUR INDUSTRIE,60114,SAS,MERU,"49,53419809","1,815311798",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,03/09/2018,28/08/2020,EDF SA DIRECTION COMMERCE SUD OUEST,31100,SA,TOULOUSE,"43,59638143","1,431672934",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,01/10/2018,30/09/2020,AIR FRANCE,93290,SA CA,TREMBLAY EN FRANCE,"48,97843041","2,554685015",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,10/09/2018,11/09/2020,SNCF MOBILITES,93200,SIEGE,SAINT DENIS,"48,92956505","2,359242998",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2018-2020,M MIASHS 1A,03/09/2018,31/08/2020,LISI AEROSPACE,75583,,PARIS,#N/A,#N/A,M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2018-2020,M MIASHS 1A,03/09/2018,28/08/2020,BALEA,34270,SAS,SAINT MATHIEU DE TREVIERS,"43,76409293","3,79487939",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,12/11/2018,28/08/2020,PRICEWATERHOUSECOOPERS ADVISORY,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,03/09/2018,28/08/2020,TELLMEPLUS,34980,SA,ST CLEMENT DE RIVIERE,"43,6724651","3,779494325",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MIASHS 1A,20/08/2018,20/08/2020,GEOMATYS,34934,SAS,MONTPELLIER,#N/A,#N/A,M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2019,M MIASHS 2A,01/10/2017,30/09/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2018-2019,M MIASHS 2A,01/09/2018,31/08/2019,AIRBUS OPERATIONS SAS TOULOUSE,31000,SASU,TOULOUSE,"43,59638143","1,431672934",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2017-2019,M MIASHS 2A,09/10/2017,31/08/2019,LABORATOIRE CHAUVIN,34070,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2019,M MIASHS 2A,02/01/2018,31/08/2019,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,EPA,CASTELNAU LE LEZ,"43,63802188","3,91265416",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2018-2019,M MIASHS 2A,25/10/2018,31/08/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2018-2019,M MIASHS 2A,01/09/2018,31/08/2019,AIRBUS OPERATIONS SAS TOULOUSE,31000,SASU,TOULOUSE,"43,59638143","1,431672934",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2018-2019,M MIASHS 2A,17/09/2018,31/08/2019,SEENOVATE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2019,M MIASHS 2A,06/09/2017,30/08/2019,ORANGE,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2019,M MIASHS 2A,04/09/2017,30/08/2019,SANOFI AVENTIS RECHERCHE DEVELOPPEMENT,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2020,M MISRH 1A,03/09/2018,02/10/2020,CLINIQUE SAINT JEAN,34093,SAS,MONTPELLIER CEDEX 05,"43,6690497","3,221016971",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,06/08/2018,02/10/2020,LA POSTE,34391,SA CA,MONTPELLIER CEDEX 5,#N/A,#N/A,M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,03/09/2018,02/10/2020,MERLIN GERIN ALES (SHNEIDER),30319,SAS,ALES,"44,03818981","4,343372874",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,03/09/2018,02/10/2020,GMCO,34970,SAS,LATTES,"43,56385941","3,902262229",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,10/09/2018,31/08/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2018-2020,M MISRH 1A,06/09/2018,02/10/2020,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,22/10/2018,30/09/2020,DUC,30730,SA,SAINT BAUZELY,"43,90727446","4,180545205",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,01/09/2018,31/08/2020,VORTEX,34430,SAS,SAINT JEAN DE VEDAS,"43,57162823","3,83221848",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,06/09/2018,02/10/2020,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,29/11/2018,02/10/2020,AFPA ENTREPRISES,34000,EPIC,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2018-2020,M MISRH 1A,01/09/2018,02/10/2020,TELESPAZIO FRANCE,31023,SAS,TOULOUSE,"43,19003534","0,813417937",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2020,M MISRH 1A,03/09/2018,02/10/2020,R2M EXPERTISE,34080,SASU,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH, 
2017-2019,M MISRH 2A,20/11/2017,19/11/2019,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,EPA,CASTELNAU LE LEZ,"43,63802188","3,91265416",M1 Gestion des Ressources Humaines parcours Management international et RH,Public
2017-2019,M MISRH 2A,04/09/2017,04/10/2019,ENEDIS,34070,ERL,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2017-2019,M MISRH 2A,04/09/2017,30/09/2019,EDF CNPE DE CRUAS,7350,SA CA,CRUAS,"44,65664209","4,756588244",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2019,M MISRH 2A,03/09/2018,30/09/2019,SIRH CONSULTING,34920,SARL,LE CRES,"43,65409787","3,936088512",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2019,M MISRH 2A,01/09/2017,30/09/2019,COMMUNAUTÉ D'AGGLOMÉRATION DE NÎMES,30900,Administration d'Etat,NIMES,"43,84493839","4,34806797",M1 Gestion des Ressources Humaines parcours Management international et RH,Public
2017-2019,M MISRH 2A,04/09/2017,30/09/2019,SNCF RESEAU,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2019,M MISRH 2A,01/09/2018,28/09/2019,PSA AUTOMOBILES,25600,SA,SOCHAUX,"47,52767976","6,865155317",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2019,M MISRH 2A,15/10/2018,27/09/2019,TAM,34075,SA ,MONTPELLIER,"43,33115899","2,70406695",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2018-2019,M MISRH 2A,01/10/2018,27/09/2019,MANPOWER,30100,SAS,ALES,"44,12500991","4,088285013",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2019,M MISRH 2A,01/10/2018,30/09/2019,CARREFOUR HYPERMARCHES,34970,SAS,LATTES,"43,56385941","3,902262229",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2019,M MISRH 2A,15/10/2018,27/09/2019,MAGASINS GALERIES LAFAYETTE,34960,SAS,MONTPELLIER,#N/A,#N/A,M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2018-2019,M2 CNO,03/09/2018,20/09/2019,SOC D' EXPLOITATION DE LA TOUR EIFFEL,75015,Société Publique Local,PARIS 15,"48,84015542","2,293559372",M2 Information-Communication parcours Communication numérique et organisations, 
2018-2019,M2 CNO,17/09/2018,06/09/2019,PREFECTURE DE L'HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Public
2018-2019,M2 CNO,10/09/2018,30/09/2019,MÉTROPOLE DE LYON,69003,Administration d'Etat,LYON 03,"45,75335525","4,86918522",M2 Information-Communication parcours Communication numérique et organisations,Public
2018-2019,M2 CNO,15/10/2018,30/09/2019,THALES LAS FRANCE,78995,SAS,ELANCOURT CEDEX,#N/A,#N/A,M2 Information-Communication parcours Communication numérique et organisations,Privé
2018-2019,M2 CNO,01/10/2018,30/09/2019,CREPS DE MONTPELLIER,34090,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Public
2018-2019,M2 CNO,03/09/2018,20/09/2019,OPERA ORCHESTRE NATIONAL MONTPELLIER,34967,Association,MONTPELLIER,#N/A,#N/A,M2 Information-Communication parcours Communication numérique et organisations,Association
2018-2019,M2 CNO,15/10/2018,11/10/2019,ONISEP DELEGATION LR,34064,EPA,MONTPELLIER CEDEX 2,"43,87168909","3,31157474",M2 Information-Communication parcours Communication numérique et organisations,Public
2018-2019,M2 CNO,24/09/2018,20/09/2019,PREFECTURE DU GARD,30900,Administration d'Etat,NIMES,"43,84493839","4,34806797",M2 Information-Communication parcours Communication numérique et organisations,Public
2018-2019,M2 CNO,24/09/2018,20/09/2019,CIE IBM FRANCE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Privé
2018-2019,M2 CNO,24/09/2018,23/09/2019,BORDEAUX METROPOLE,33000,Etablissement public,BORDEAUX,"44,85724454","-0,5736967812",M2 Information-Communication parcours Communication numérique et organisations,Public
2018-2019,M2 COMPAC,01/10/2018,30/09/2019,COMUE LR-UNIVIVERSITÉ,34197,"Etablissement Public National scientifique, culturel et professionnel",MONTPELLIER CEDEX 85,"43,57492509","3,398317704","M2 Information-Communication parcours Communication publique, associative et culturelle", 
2018-2019,M2 COMPAC,17/09/2018,06/09/2019,PREFECTURE DE L'HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2018-2019,M2 COMPAC,01/10/2018,30/09/2019,PREFECTURE DES PYRENEES ORIENTALES,66100,Administration d'Etat,PERPIGNAN,"42,69659541","2,89936954","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2018-2019,M2 COMPAC,03/09/2018,20/09/2019,CC LA DOMITIENNE,34370,Fonction publique territoriale,MAUREILHAN,"43,39763101","3,099684083","M2 Information-Communication parcours Communication publique, associative et culturelle", 
2018-2019,M2 COMPAC,24/09/2018,30/09/2019,REGION OCCITANIE PYRENEES MEDITERRANEE,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2018-2019,M2 COMPAC,03/09/2018,20/09/2019,RECTORAT DE MONTPELLIER,34000,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2018-2019,M2 CPO,01/09/2018,06/09/2019,REGION DE GENDARMERIE LANGUEDOC ROUSSI,34070,GIE,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours changement organisationnel et personnel , 
2018-2019,M2 CPO,03/09/2018,29/09/2019,SE IT FRANCE,38334,SAS,MONTBONNOT ST MARTIN,"45,16812066","5,909911498",M2 Information-Communication parcours changement organisationnel et personnel ,Privé
2018-2019,M2 CPO,10/10/2018,30/09/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours changement organisationnel et personnel ,Public
2018-2019,M2 GIMD,17/10/2018,16/10/2019,ENSEA,95800,EPA,CERGY,"49,04011316","2,050821237",M2 Information-Documentation parcours gestion de l'information et mediation documentaire : métiers des bibliothèques et de la documentation (GIMD) ,Public
2018-2019,M2 HUMANUM,24/09/2018,23/09/2019,EPLEFPA,30230,Administration d'Etat,RODILHAN,"43,80161846","4,434484254",M2 Humanités Numériques,Public
2018-2019,M2 HUMANUM,07/09/2018,30/09/2019,RECTORAT DE MONTPELLIER,34000,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Humanités Numériques,Public
2018-2019,M2 HUMANUM,13/12/2018,12/12/2019,LA POSTE CENTRE DEV NUMERIQUE FORM,34090,,MONTPELLIER,"43,61344091","3,868516579",M2 Humanités Numériques, 
2018-2019,M2 HUMANUM,01/10/2018,31/10/2019,MINISTERE DES ARMEES,37000,,TOURS,"47,39863823","0,6965263764",M2 Humanités Numériques, 
2018-2019,M2 PTO,03/09/2018,27/09/2019,LA POSTE CENTRE FINANCIER,34000,SA CA,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2018-2019,M2 PTO,03/09/2018,30/09/2019,UNIVERSITE PAUL VALERY MONTPELLIER 3,34199,Administration d'Etat,MONTPELLIER CEDEX 5,"43,46299017","3,416516521",M2 Psychologie sociale du travail et des organisations ,Public
2018-2019,M2 PTO,22/10/2018,27/09/2019,UBISOFT,34170,SAS,MONTPELLIER,"43,63802188","3,91265416",M2 Psychologie sociale du travail et des organisations ,Privé
2018-2019,M2 PTO,03/09/2018,30/09/2019,UNIVERSITE PAUL VALERY MONTPELLIER 3,34199,Administration d'Etat,MONTPELLIER CEDEX 5,"43,46299017","3,416516521",M2 Psychologie sociale du travail et des organisations ,Public
2018-2019,M2 PTO,27/08/2018,23/08/2019,KTK FRANCE SEATS,42160,SAS,ANDREZIEUX BOUTHEON,"45,53499131","4,27650427",M2 Psychologie sociale du travail et des organisations ,Privé
2018-2019,M2 PTO,24/09/2018,30/09/2019,EI GROUPE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2018-2019,M2 PTO,29/10/2018,28/10/2019,BTP CFA LANGUEDOC ROUSSILLON,34070,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Association
2019-2020,DUT SAP 1A,01/09/2019,31/08/2021,ADAPA,1000,,BOURG EN BRESSE,"46,20515204","5,246021255",DUT carrières sociales option service à la personne 1ere annee, 
2019-2020,DUT SAP 2A,03/09/2018,30/08/2020,A2MICILE - AZAE NARBONNE,11200,SARL,LEZIGNAN CORBIERES,"43,24583407","2,770623578",DUT carrières sociales option service à la personne 2eme annee,Privé
2019-2020,LP IS APS,01/09/2019,31/08/2020,CCAS DE FRONTIGNAN,34110,,FRONTIGNAN,"43,44824589","3,749235224",L PRO intervention sanitaire et sociale parcours gestionnaire en gérontologie, 
2019-2020,LP RDN,27/08/2019,31/07/2020,OCCITANIE LIVRE & LECTURE,31000,Association,TOULOUSE,"43,59638143","1,431672934",Licence professionnelle RDN,Association
2019-2020,M CNO 1A,16/10/2019,06/09/2021,PREFECTURE DES PYRENEES ORIENTALES,66100,Administration d'Etat,PERPIGNAN,"42,69659541","2,89936954",M1 Information-Communication parcours Communication numérique et organisations,Public
2019-2020,M CNO 1A,01/12/2019,30/11/2021,AGENCE REGIONALE DE SANTE OCCITANIE,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M1 Information-Communication parcours Communication numérique et organisations,Public
2019-2020,M CNO 2A,09/09/2019,07/09/2020,ORANGE,6560,SA,VALBONNE,"43,62828833","7,029544767",M2 Information-Communication parcours Communication numérique et organisations,Privé
2019-2020,M CNO 2A,06/09/2019,17/09/2021,AQUA-VALLEY PÔLE EAU,34070,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Association
2019-2020,M CNO 2A,02/09/2019,07/09/2020,DEPARTEMENT DE L'AUDE,11000,Collectivité Territoriale,CARCASSONNE,"43,21409862","2,407732717",M2 Information-Communication parcours Communication numérique et organisations,Public
2019-2020,M CNO 2A,16/09/2019,11/09/2020,J PIERRE LAVAILL CONSEILS,34300,ERL,AGDE,"43,30912912","3,484479031",M2 Information-Communication parcours Communication numérique et organisations, 
2019-2020,M CNO 2A,01/09/2019,31/08/2020,SO COCOON,34970,,LATTES,"43,56385941","3,902262229",M2 Information-Communication parcours Communication numérique et organisations, 
2019-2020,M CNO 2A,28/10/2019,07/09/2020,EPCC MOCO,34000,EPCC,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations, 
2019-2020,M CNO 2A,02/09/2019,07/09/2020,MEDISUR,13590,SAS,MEYREUIL,"43,49105225","5,500628119",M2 Information-Communication parcours Communication numérique et organisations,Privé
2019-2020,M CNO 2A,09/09/2019,08/09/2020,MÉTROPOLE DE LYON,69003,Administration d'Etat,LYON 03,"45,75335525","4,86918522",M2 Information-Communication parcours Communication numérique et organisations,Public
2019-2020,M COMPAC 1A,02/09/2019,06/09/2021,MERCY SHIPS,1210,Association,FERNEY VOLTAIRE,"46,25197892","6,108264038","M1 Information-Communication parcours Communication publique, associative et culturelle",Association
2019-2020,M COMPAC 1A,02/09/2019,06/09/2021,PREFECTURE DU GARD,30900,Administration d'Etat,NIMES,"43,84493839","4,34806797","M1 Information-Communication parcours Communication publique, associative et culturelle",Public
2019-2020,M COMPAC 1A,02/09/2019,01/09/2021,SGAMI SUD,13014,Administration d'Etat,MARSEILLE,"43,34550181","5,394089158","M1 Information-Communication parcours Communication publique, associative et culturelle",Public
2019-2020,M COMPAC 1A,01/01/2020,06/09/2021,CHU ROYANS,17200,Administration d'Etat,ROYAN CEDEX,"45,63465742","-1,017914034","M1 Information-Communication parcours Communication publique, associative et culturelle",Public
2019-2020,M COMPAC 2A,11/09/2019,11/09/2020,PROMETHEE PRODUCTIONS,75009,SAS,PARIS,"48,87689616","2,337460241","M2 Information-Communication parcours Communication publique, associative et culturelle",Privé
2019-2020,M COMPAC 2A,02/09/2019,30/09/2020,REGION OCCITANIE PYRENEES MEDITERRANEE,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2019-2020,M CPO 1A,25/11/2019,30/09/2021,AIRDIE,34000,Association,MONTPELLIER,"43,61344091","3,868516579",M1 Information-Communication parcours changement organisationnel et personnel ,Association
2019-2020,M CPO 2A,02/09/2019,31/08/2020,SAFRAN ELECTRONICS & DEFENSE,75015,SA CA,PARIS 15,"48,84015542","2,293559372",M2 Information-Communication parcours changement organisationnel et personnel ,Privé
2019-2020,M CPO 2A,01/09/2019,31/08/2020,ONISEP DELEGATION LR,34064,EPA,MONTPELLIER CEDEX 2,"43,87168909","3,31157474",M2 Information-Communication parcours changement organisationnel et personnel ,Public
2019-2020,M CPO 2A,01/08/2019,31/08/2020,CAPTURS,31670,SAS,LABEGE,"43,53913772","1,520620711",M2 Information-Communication parcours changement organisationnel et personnel ,Privé
2019-2020,M GIMD 1A,14/10/2019,30/09/2021,INSTITUT NATIONAL DE L'AUDIOVISUEL,94360,EPIC,BRY SUR MARNE,"48,83840957","2,523196576",M1 Information-Documentation parcours gestion de l'information et médiation documentaire : métiers des bibliothèques et de la documentation (GIMD),Public
2019-2020,M GIMD 1A,03/10/2019,30/09/2021,EDF CNPE DE DAMPIERRE,45570,SA,OUZOUER SUR LOIRE,"47,76127445","2,543038043",M1 Information-Documentation parcours gestion de l'information et médiation documentaire : métiers des bibliothèques et de la documentation (GIMD),Privé
2019-2020,M GIMD 2A,01/09/2019,30/09/2020,ENSAM,34070,Etablissement public,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Documentation parcours Information-Documentation parcours gestion de l'information et médiation documentaire : métiers des bibliothèques et de la documentation (GIMD),Public
2019-2020,M GRH SOI 2A,14/10/2019,30/09/2020,ADECCO TRAINING,34470,,PEROLS,"43,56066427","3,951757085",M2 Gestion des Ressources Humaines parcours Sciences des Organisations et des Institutions, 
2019-2020,M HUMANUM 2A,03/10/2019,29/09/2020,INALCO,75013,,PARIS,"48,82871768","2,362468229",M2 Humanités Numériques, 
2019-2020,M HUMANUM 2A,25/09/2019,29/09/2020,SEC GENERAL DES MINISTÈRES SOCIAUX,75007,,PARIS,"48,8560826","2,312438688",M2 Humanités Numériques, 
2019-2020,M IDS ESSAP 2A,01/09/2018,30/08/2020,ASS RESEAU EN SCENE,34070,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours ESSAP,Association
2019-2020,M IDS ESSAP 2A,01/10/2019,30/09/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours ESSAP,Public
2019-2020,M IDS ESSAP 2A,07/10/2019,30/09/2020,ASSOCIATION CONVERGENCES 34,34070,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours ESSAP,Association
2019-2020,M IDS ESSAP 2A,30/09/2019,30/09/2020,CRIJ OCCITANIE,34000,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours ESSAP,Association
2019-2020,M IDS PIDT 1A,01/10/2019,30/09/2021,BOUILLON CUBE,34380,Association,CAUSSE DE LA SELLE,"43,72495231","3,674207203",M1 Intervention et développement social parcours PIDT,Association
